dataset_slug,dataset_label,method,graph_type,module_id,global_graph_index,label,prediction_class,prediction_confidence,is_correct,logistic_probability,logistic_prediction,logistic_accuracy,top_features,fidelity_plus,fidelity_minus,progression_maskout_drop_k1,progression_maskout_drop_k3,progression_sufficiency_drop_k1,progression_sufficiency_drop_k3,progression_concentration_top1,progression_concentration_top3,text
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,319,1,1,0.9683955311775208,True,0.9998870425554003,1,1.0,"S, «NOUN PHRASE», «PERSONAL PRONOUN», it, «VERB PHRASE», «VERB, 3rd person singular present», 's, «NOUN PHRASE», «NOUN PHRASE»",0.001150906085968,0.6879514157772064,0.0012423396110534,-0.0163259506225585,0.6804549694061279,0.6720827221870422,0.0018058537021105,-0.0237312552138794,too much of it feels unfocused and underdeveloped . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,718,1,1,0.9442808032035828,True,0.9997863209004146,1,1.0,"S, «VERB PHRASE», «VERB, 3rd person singular present», looks, «COORDINATING CONJUNCTION», and, «VERB, 3rd person singular present», feels",0.0015312433242797,0.6659954786300659,-0.0058231949806213,-0.0037900805473327,0.6617032587528229,0.6539585888385773,-0.0087435953658416,-0.005690850266925,"this is human comedy at its most amusing , interesting and confirming . "
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,783,1,1,0.9646467566490172,True,0.9997726014664875,1,1.0,"S, S, «PREPOSITIONAL PHRASE», «PREPOSITION OR SUBORDINATING CONJUNCTION», inside, «NOUN PHRASE», «NOUN PHRASE», «DETERMINER», the, «NOUN",0.0021615624427795,0.6796791255474091,-0.0063619017601013,-0.0215862393379211,0.6753910183906555,0.6474922895431519,-0.0093601546979649,-0.031759456082362,the movie does a good job of laying out some of the major issues that we encounter as we journey through life . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,293,0,0,0.9927967190742492,True,0.9997135502753831,1,1.0,"S, «VERB PHRASE», «VERB, 3rd person singular present», allows, S, «NOUN PHRASE», «PERSONAL PRONOUN», us, «VERB PHRASE»",-0.0003266334533691,0.289289653301239,0.0090577006340026,0.0249921083450317,0.3039327263832092,0.1757298707962036,0.0313101437629739,0.0863912969573346,"at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history . "
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,752,0,0,0.9917854070663452,True,0.9996476274286941,1,1.0,"S, «VERB PHRASE», «VERB, 3rd person singular present», 's, «ADVERB PHRASE», «ADVERB», also, «ADVERB PHRASE», «ADVERB»",-0.0004236698150634,0.2872055172920227,-0.0014769434928894,-0.0043992400169372,0.2777684926986694,0.2958639860153198,-0.0051424621184685,-0.0153173938245212,like watching a dress rehearsal the week before the show goes up : everything 's in place but something 's just a little off-kilter . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,73,1,1,0.7740950584411621,True,0.9996280251539567,1,1.0,"S, one, creepiest, scariest, «VERB PHRASE», «ADVERB PHRASE», «ADVERB», in, «NOUN, SINGULAR OR MASS»",-0.1688441634178161,0.6526360437273979,-0.0005224347114562,0.0120516419410705,0.4944084286689758,0.4751965403556824,-0.0008004992960241,0.0184660985922423,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . "
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,507,0,0,0.9999516010284424,True,0.9995693997663724,1,1.0,"S, «NOUN PHRASE», «DETERMINER», the, «NOUN, SINGULAR OR MASS», movie, «VERB PHRASE», «VERB, 3rd person singular present»",-5.960464477539062e-07,0.2785096764564514,-2.026557922363281e-05,-2.110004425048828e-05,0.2835806012153625,0.3014794588088989,-7.276436309674001e-05,-7.57605427536646e-05,the minor figures surrounding ( bobby ) ... form a gritty urban mosaic . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,260,1,1,0.9975443482398988,True,0.99955968180641,1,1.0,"S, «SYMBOL», /, «COORDINATING CONJUNCTION», but, S, «ADJECTIVE PHRASE», «NOUN, SINGULAR OR MASS», daphne",0.0002169013023376,0.6942947208881378,0.0002535581588745,0.0041252374649047,0.6589569449424744,0.5363584756851196,0.0003652024871371,0.0059416229747905,"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! "
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,815,0,0,0.9794819951057434,True,0.999168713883908,1,1.0,"S, «NOUN PHRASE», «VERB PHRASE», say, «SUBORDINATE CLAUSE», «NOUN PHRASE», «DETERMINER», the, «NOUN, SINGULAR OR MASS»",0.0060788989067077,0.2627004981040954,-0.0002208948135375,-0.0007219314575195,0.2654420733451843,0.2845430374145508,-0.0008408617993943,-0.0027481160588948,a delightful coming-of-age story . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,849,1,1,0.507259726524353,True,0.9772503413184657,1,1.0,"S, «NOUN PHRASE», «PERSONAL PRONOUN», «VERB PHRASE», «VERB, 3rd person singular present», 's, «VERB PHRASE», «VERB, past participle»",0.0104415714740753,0.2948352396488189,0.0308054387569427,0.1422174870967865,0.2192070484161377,0.2131126821041107,0.104483571209586,0.4823625807626764,trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,364,1,0,0.5026565790176392,False,0.01983289217381183,0,1.0,"S, «NOUN PHRASE», «NOUN PHRASE», «CARDINAL NUMBER», one, «PREPOSITIONAL PHRASE», «PREPOSITION OR SUBORDINATING CONJUNCTION», of, «NOUN PHRASE», «ADJECTIVE",0.0075795352458953,0.2076990306377411,-0.0370896160602569,-0.0504712164402008,-0.1886605322360992,-0.1597678959369659,0.0,0.0,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . "
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,65,1,0,0.5170630812644958,False,0.013619464097416122,0,1.0,"S, wonder, «WH-ADVERB», why, «NOUN PHRASE», «ADVERB», enough, «VERB PHRASE», «VERB, PAST TENSE»",-0.2457517683506012,0.2853795140981674,0.1357766985893249,0.0948381721973419,-0.1979058682918548,-0.1428119242191314,0.0,0.0,you wonder why enough was n't just a music video rather than a full-length movie . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,496,1,0,0.5434488654136658,False,0.004689466759045016,0,1.0,S,-0.2236599922180175,0.3452080190181732,-0.0611238479614257,-0.0765722393989563,-0.2518103122711181,-0.22754967212677,0.0,0.0,"it 's about following your dreams , no matter what your parents think . "
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,282,0,1,0.8466994762420654,False,0.003287548743291978,0,1.0,"«ROOT», S, «SUBORDINATE CLAUSE», «PREPOSITION OR SUBORDINATING CONJUNCTION», while, S, «NOUN PHRASE», «EXISTENTIAL THERE», there, «VERB PHRASE»",-1.1920928955078125e-07,-0.5770827382802963,-0.6818041056394577,-0.6369796246290207,-0.1468829363584518,-0.2179651707410812,0.0,0.0,"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer "
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,757,0,1,0.7746354341506958,False,0.0026182760880518797,0,1.0,"S, bleakly, «NOUN PHRASE», «NOUN PHRASE», all, «DETERMINER», the, «ADVERB, COMPARATIVE», more",-0.2539986819028854,0.1642457991838455,-0.5790212601423264,-0.5580113977193832,-0.0801912993192672,-0.1310990005731582,0.0,0.0,there 's enough melodrama in this magnolia primavera to make pta proud yet director muccino 's characters are less worthy of puccini than they are of daytime television . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,388,0,1,0.8098241686820984,False,0.0017493971581387707,0,1.0,"«ROOT», «NOUN PHRASE», «NOUN PHRASE», «DETERMINER», no, «NOUN, SINGULAR OR MASS», sophomore, «NOUN, SINGULAR OR MASS»",-2.9802322387695312e-08,-0.5391223281621933,-0.6153392642736435,-0.6491340845823288,-0.0873714536428451,-0.1054936796426773,0.0,0.0,when leguizamo finally plugged an irritating character late in the movie . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,104,0,1,0.9929025769233704,False,5.792834347122557e-05,0,1.0,"«ROOT», S, «NOUN PHRASE», «PERSONAL PRONOUN», it, «VERB PHRASE», «VERB, 3rd person singular present», 's, «NOUN PHRASE»",-2.3283064365386963e-08,-0.7225852059200406,-0.985410992987454,-0.9866241263225676,-0.2779926108196378,-0.2969562755897641,0.0,0.0,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . "
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,670,1,0,0.9244794249534608,False,1.6967378063640664e-05,0,1.0,"S, «NOUN, SINGULAR OR MASS», «VERB PHRASE», «PREPOSITIONAL PHRASE», «NOUN PHRASE», «VERB PHRASE», «ADVERB», .",-0.2772966995835304,0.0263629220426082,-0.8646301403641701,-0.8660486713051796,-0.6352009549736977,-0.6217024102807045,0.0,0.0,verbinski implements every hack-artist trick to give us the ooky-spookies . 
stanfordnlp_sst2,SST-2 (StanfordNLP),subgraphx,constituency,subgraphx:constituency,182,1,0,0.9681306481361388,False,8.632854553840195e-06,0,1.0,"S, «DETERMINER», n't, «NOUN PHRASE», job, conveying, «NOUN PHRASE», «NOUN, SINGULAR OR MASS», «PREPOSITION OR SUBORDINATING CONJUNCTION»",-0.2965349778532982,0.0066301710903644,-0.9395319744944572,-0.9401703998446465,-0.68369971960783,-0.6661679670214653,0.0,0.0,"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . "
